ticker,name,note
HDFCBANK.NS,HDFC Bank,auto: ATR 1.99% score 315.7
RELIANCE.NS,Reliance,auto: ATR 1.68% score 243.4
ICICIBANK.NS,ICICI Bank,auto: ATR 1.6% score 233.5
INFY.NS,Infosys,auto: ATR 2.85% score 212.9
ADANIENT.NS,Adani Ent,auto: ATR 3.22% score 204.4
IDEA.NS,Vodafone Idea,auto: ATR 3.65% score 189.0
SBIN.NS,SBI,auto: ATR 1.79% score 186.8
COALINDIA.NS,Coal India,auto: ATR 2.1% score 181.3
ADANIPORTS.NS,Adani Ports,auto: ATR 2.52% score 178.6
AXISBANK.NS,Axis Bank,auto: ATR 2.01% score 177.5
TCS.NS,TCS,auto: ATR 2.88% score 176.4
TATASTEEL.NS,Tata Steel,auto: ATR 2.6% score 173.5
